bodyPart,equipment,gifUrl,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
waist,band,https://v2.exercisedb.io/image/ePwIwwQWmM7zZX,1014,band v-up,abs,hip flexors,,"Lie flat on your back with your legs straight and your arms extended overhead, holding the band.","Engaging your abs, lift your legs and upper body off the ground simultaneously, reaching your hands towards your toes.","Pause for a moment at the top, then slowly lower your legs and upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
waist,band,https://v2.exercisedb.io/image/vTLs3CG4iTTQBQ,1015,band vertical pallof press,abs,obliques,glutes,Stand with your feet shoulder-width apart and wrap the band around a sturdy object at chest height.,"Hold the band with both hands and step away from the anchor point, creating tension in the band.","Position yourself perpendicular to the anchor point, with your side facing the band.","Extend your arms straight out in front of you, keeping your hands at chest height.","Engage your core and press the band away from your chest, fully extending your arms.","Hold the position for a few seconds, then slowly bring the band back towards your chest.",,"Repeat for the desired number of repetitions, then switch sides.",,,,,,,
lower arms,band,https://v2.exercisedb.io/image/RQUBteDgupiwgl,1016,band wrist curl,forearms,biceps,triceps,Sit on a bench or chair with your feet flat on the ground.,"Hold the band with both hands, palms facing up, and rest your forearms on your thighs.","Slowly curl your wrists upward, squeezing your forearms.","Pause for a moment at the top, then slowly lower your wrists back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,band,https://v2.exercisedb.io/image/yOoEhSesU5SZRU,1017,band y-raise,delts,traps,rhomboids,Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing inwards.,"Keep your arms straight and lift them up and out to the sides, forming a 'Y' shape with your body.",Squeeze your shoulder blades together at the top of the movement.,Slowly lower your arms back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/6eatsU45zhybk2,0023,barbell alternate biceps curl,biceps,forearms,,"Stand up straight with your feet shoulder-width apart and hold a barbell in each hand, palms facing forward.",Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps.,Continue to raise the barbells until your biceps are fully contracted and the barbells are at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale as you slowly begin to lower the barbells back to the starting position.,"Repeat for the desired number of repetitions, alternating arms.",,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/74DX1mCZgri99f,0024,barbell bench front squat,quads,hamstrings,glutes,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, just below your collarbone.","Hold the barbell with an overhand grip, keeping your elbows up and your upper arms parallel to the ground.","Lower your body down into a squat position by bending at the knees and hips, keeping your back straight and your chest up.","Pause for a moment at the bottom of the squat, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,calves,,,,,,,,
chest,barbell,https://v2.exercisedb.io/image/ZZPby9wkLJSFcL,0025,barbell bench press,pectorals,triceps,shoulders,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.,Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.,"Lower the barbell slowly towards your chest, keeping your elbows tucked in.",Pause for a moment when the barbell touches your chest.,Push the barbell back up to the starting position by extending your arms.,,Repeat for the desired number of repetitions.,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/RaH8qnuehbXUKO,0026,barbell bench squat,quads,glutes,hamstrings,Set up a barbell on a squat rack at chest height.,"Stand facing away from the rack, with your feet shoulder-width apart.","Bend your knees and lower your body down into a squat position, keeping your back straight and chest up.","Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.","Lift the barbell off the rack and step back, ensuring your feet are still shoulder-width apart.","Lower your body down into a squat, keeping your knees in line with your toes.",calves,"Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,,,,,
back,barbell,https://v2.exercisedb.io/image/w3qIda45giizel,1316,barbell bent arm pullover,lats,triceps,chest,Lie flat on a bench with your head at one end and your feet on the floor.,Hold a barbell with a shoulder-width grip and extend your arms straight above your chest.,Lower the barbell behind your head while keeping your arms slightly bent.,"Pause for a moment, then raise the barbell back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,barbell,https://v2.exercisedb.io/image/HFEaRFQkIRd9Os,0027,barbell bent over row,upper back,biceps,forearms,Stand with your feet shoulder-width apart and knees slightly bent.,Bend forward at the hips while keeping your back straight and chest up.,"Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart.",Pull the barbell towards your lower chest by retracting your shoulder blades and squeezing your back muscles.,"Pause for a moment at the top, then slowly lower the barbell back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/bSVvbQjgnpyYu7,2407,barbell biceps curl (with arm blaster),biceps,forearms,,"Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up.","Place your upper arms against the arm blaster, keeping your elbows close to your torso.","Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.",Continue to raise the barbell until your biceps are fully contracted and the bar is at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly begin to lower the barbell back to the starting position.,,Repeat for the desired number of repetitions.,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/HP-t40T1wc-jaC,0028,barbell clean and press,quads,hamstrings,glutes,Stand with your feet shoulder-width apart and the barbell on the floor in front of you.,"Bend your knees and hinge at the hips to lower down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.","Drive through your heels and extend your hips and knees to lift the barbell off the floor, keeping it close to your body.","As the barbell reaches your thighs, explosively extend your hips, shrug your shoulders, and pull the barbell up towards your chest.","As the barbell reaches chest height, quickly drop under it and catch it at shoulder level, with your elbows pointing forward and your palms facing up.","From the catch position, press the barbell overhead by extending your arms and pushing the barbell straight up.",shoulders,Lower the barbell back down to the starting position and repeat for the desired number of repetitions.,,triceps,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/tKYA7teBzUdvMw,0029,barbell clean-grip front squat,glutes,quadriceps,hamstrings,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, with your elbows pointing forward.","Lower your body by bending your knees and pushing your hips back, as if you are sitting back into a chair.","Keep your chest up and your back straight as you lower down, making sure your knees do not go past your toes.","Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.","Pause for a moment at the bottom, then push through your heels to stand back up, extending your hips and knees.",Repeat for the desired number of repetitions.,calves,,,core,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/6RZyXFI5XsIg8-,0030,barbell close-grip bench press,triceps,chest,shoulders,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,"Grasp the barbell with a close grip, slightly narrower than shoulder-width apart.","Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body.",Pause for a moment when the barbell touches your chest.,"Push the barbell back up to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/ObboNJAEiU1WS8,0031,barbell curl,biceps,forearms,,"Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing forward.",Keep your elbows close to your torso and exhale as you curl the weights while contracting your biceps.,Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale as you slowly begin to lower the bar back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/zoY2MmNL2IK4qP,0032,barbell deadlift,glutes,hamstrings,lower back,Stand with your feet shoulder-width apart and the barbell on the ground in front of you.,"Bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.","Keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees.","As you stand up straight, squeeze your glutes and keep your core engaged.","Lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight.",Repeat for the desired number of repetitions.,,,,,,,,,
chest,barbell,https://v2.exercisedb.io/image/PNJD51IJJX6j8D,0033,barbell decline bench press,pectorals,triceps,shoulders,Lie on a decline bench with your feet secured and your head lower than your hips.,Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.,"Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in.","Pause for a moment at the bottom, then push the barbell back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,barbell,https://v2.exercisedb.io/image/Wh8XtfYom9XOcF,0034,barbell decline bent arm pullover,lats,triceps,chest,Lie down on a decline bench with your head lower than your hips and your feet secured.,Hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest.,"Lower the barbell behind your head in a controlled manner, keeping your arms slightly bent.","Pause for a moment, then raise the barbell back to the starting position by contracting your lats.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/sHm0SzmuyadvKa,0035,barbell decline close grip to skull press,triceps,chest,shoulders,Lie on a decline bench with your head lower than your feet and hold a barbell with a close grip.,"Lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary.","Pause for a moment, then extend your arms to press the barbell back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
chest,barbell,https://v2.exercisedb.io/image/WReEyiUY7QeKEu,1255,barbell decline pullover,pectorals,triceps,shoulders,Lie down on a decline bench with your head lower than your hips and your feet secured.,Hold the barbell with a pronated grip (palms facing away from you) and your hands slightly wider than shoulder-width apart.,"Extend your arms above your chest, keeping a slight bend in your elbows.","Lower the barbell in an arc motion behind your head, feeling a stretch in your chest and shoulders.","Pause for a moment, then return the barbell to the starting position by reversing the motion.",Repeat for the desired number of repetitions.,,,,,,,,,
chest,barbell,https://v2.exercisedb.io/image/-NXtFzKNyzCmBL,0036,barbell decline wide-grip press,pectorals,triceps,shoulders,Lie on a decline bench with your feet secured and your head lower than your hips.,"Grasp the barbell with a wide grip, slightly wider than shoulder-width apart.","Lower the barbell to your chest, keeping your elbows out to the sides.","Push the barbell back up to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,barbell,https://v2.exercisedb.io/image/vq5SEVPv-8EfNE,0037,barbell decline wide-grip pullover,lats,triceps,chest,Lie on a decline bench with your head lower than your hips and your feet secured.,Hold a barbell with a wide grip and extend your arms straight above your chest.,"Lower the barbell behind your head in a controlled manner, keeping your arms straight.","Pause for a moment, then raise the barbell back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/bLCk-wzZ8YhyXD,0038,barbell drag curl,biceps,forearms,,"Stand with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up.",Let the barbell hang at arm's length in front of your thighs.,"Keeping your upper arms stationary, curl the barbell up towards your chest by contracting your biceps.","Pause for a moment at the top, then slowly lower the barbell back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
lower legs,barbell,https://v2.exercisedb.io/image/Jck2RjRosIqYg5,1370,barbell floor calf raise,calves,hamstrings,,Place a barbell on the floor in front of you.,"Stand with the balls of your feet on the edge of the barbell, with your heels hanging off.",Hold onto a stable object for balance if needed.,"Raise your heels as high as possible, using your calves to lift your body.","Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/n-1wAxxu8uBePV,0039,barbell front chest squat,glutes,quadriceps,hamstrings,"Start by standing with your feet shoulder-width apart, toes slightly turned out.","Hold the barbell in front of your chest with your hands shoulder-width apart, elbows pointing forward.","Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees.","Lower until your thighs are parallel to the ground, or as low as you can comfortably go.","Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,calves,,,core,,,,,
shoulders,barbell,https://v2.exercisedb.io/image/UHiEFrsbeCmueI,0041,barbell front raise,delts,biceps,triceps,Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip.,Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level.,"Pause for a moment at the top, then slowly lower the barbell back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
chest,barbell,https://v2.exercisedb.io/image/C-vBZcN82wrXtP,0040,barbell front raise and pullover,pectorals,deltoids,triceps,"Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down.",Keep your arms straight and raise the barbell in front of you until it reaches shoulder height.,"Pause for a moment at the top, then slowly lower the barbell back down to the starting position.","Next, lower the barbell behind your head, keeping your arms straight.","Pause for a moment at the bottom, then raise the barbell back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/wYAHVkvxYKuzwA,0042,barbell front squat,glutes,quadriceps,hamstrings,"Start by standing with your feet shoulder-width apart, toes slightly turned out.","Hold the barbell in front of your shoulders, resting it on your collarbone and shoulders.","Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees.","Lower until your thighs are parallel to the ground, or as low as you can comfortably go.","Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,calves,,,core,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/50tPNxJrxCBohN,0043,barbell full squat,glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, toes slightly turned out.","Hold the barbell across your upper back, resting it on your traps or rear delts.",Engage your core and keep your chest up as you begin to lower your body down.,"Bend at the knees and hips, pushing your hips back and down as if sitting into a chair.",Lower yourself until your thighs are parallel to the ground or slightly below.,Keep your knees in line with your toes and your weight in your heels.,calves,"Drive through your heels to stand back up, extending your hips and knees.",Repeat for the desired number of repetitions.,core,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/l4UVfDOFcezjOh,1461,barbell full squat (back pov),glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, toes slightly turned out.","Hold the barbell across your upper back, resting it on your traps or rear delts.",Engage your core and keep your chest up as you begin to lower your body down.,"Bend at the knees and hips, pushing your hips back and down as if sitting into a chair.",Lower your body until your thighs are parallel to the ground or slightly below.,Keep your knees in line with your toes and your weight in your heels.,calves,"Drive through your heels to stand back up, extending your hips and knees.",Repeat for the desired number of repetitions.,core,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/b-dkcszdwg-tsM,1462,barbell full squat (side pov),glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, toes slightly turned out.","Hold the barbell across your upper back, resting it on your traps or rear delts.",Engage your core and keep your chest up as you begin to lower your body down.,"Bend at the knees and hips, pushing your hips back and down as if sitting into a chair.",Lower your body until your thighs are parallel to the ground or slightly below.,Keep your knees in line with your toes and your weight in your heels.,calves,"Drive through your heels to stand back up, extending your hips and knees.",Repeat for the desired number of repetitions.,core,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/BqPDTLk8EutAfE,1545,barbell full zercher squat,glutes,quadriceps,hamstrings,Stand with your feet shoulder-width apart and toes slightly turned out.,"Hold the barbell in the crooks of your elbows, with your hands gripping the barbell for stability.",Engage your core and keep your chest lifted as you lower your hips back and down into a squat position.,Keep your knees in line with your toes and your weight in your heels.,"Lower until your thighs are parallel to the ground, or as low as you can comfortably go.","Drive through your heels to stand back up, squeezing your glutes at the top of the movement.",calves,Repeat for the desired number of repetitions.,,core,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/h5ExSM7fzolTGv,1409,barbell glute bridge,glutes,hamstrings,lower back,Start by lying flat on your back on the ground with your knees bent and feet flat on the floor.,"Place a barbell across your hips, holding it securely with both hands.","Engage your glutes and core muscles, then lift your hips off the ground until your body forms a straight line from your knees to your shoulders.","Pause for a moment at the top, squeezing your glutes.",Slowly lower your hips back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/bw792FUAiLF1HU,3562,barbell glute bridge two legs on bench (male),glutes,hamstrings,core,"Start by sitting on the edge of a bench with your upper back resting against it and your feet flat on the ground, hip-width apart.","Place a barbell across your hips, holding it securely with both hands.","Engage your glutes and core muscles, then press through your heels to lift your hips off the bench, creating a straight line from your knees to your shoulders.","Pause for a moment at the top, squeezing your glutes.",Slowly lower your hips back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/Fu5W2baD3osehL,0044,barbell good morning,hamstrings,lower back,,Start by standing with your feet shoulder-width apart and the barbell resting on your upper back.,"Keeping your back straight and your core engaged, hinge forward at the hips, pushing your buttocks back as if you were trying to touch the wall behind you with your glutes.","Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings.","Pause for a moment, then return to the starting position by squeezing your glutes and pushing your hips forward.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,barbell,https://v2.exercisedb.io/image/tZaNqKhurv4Rev,0045,barbell guillotine bench press,pectorals,shoulders,triceps,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,"Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.","Lower the barbell slowly towards your neck, keeping your elbows pointed outwards.",Pause for a moment when the barbell is just above your neck.,"Push the barbell back up to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/X7nhpCB7YOE2Zt,0046,barbell hack squat,glutes,quadriceps,hamstrings,Start by standing with your feet shoulder-width apart and your toes slightly turned out.,"Hold the barbell behind your legs, resting it on your upper thighs.","Lower your body by bending at the knees and hips, keeping your back straight and your chest up.","Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.","Pause for a moment, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,calves,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/jUXdQTQrRAwYKP,1436,barbell high bar squat,glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, toes slightly turned out.","Place the barbell on your upper back, resting it on your traps.","Engage your core and keep your chest up as you begin to squat down, pushing your hips back and bending your knees.","Lower yourself until your thighs are parallel to the ground, or as low as you can comfortably go.","Drive through your heels to stand back up, extending your hips and knees.",Repeat for the desired number of repetitions.,calves,,,core,,,,,
chest,barbell,https://v2.exercisedb.io/image/w6eEQMZGhYJZLn,0047,barbell incline bench press,pectorals,shoulders,triceps,Set up an incline bench at a 45-degree angle.,Lie down on the bench with your feet flat on the ground.,"Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.","Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle.","Pause for a moment at the bottom, then push the barbell back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/nXgtrgtThcj-0r,1719,barbell incline close grip bench press,triceps,chest,shoulders,Set up an incline bench at a 45-degree angle.,Lie down on the bench with your feet flat on the ground.,"Grasp the barbell with a close grip, slightly narrower than shoulder-width apart.","Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body.",Pause for a moment when the barbell touches your chest.,"Push the barbell back up to the starting position, fully extending your arms.",,Repeat for the desired number of repetitions.,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/Ag6jJTVPPtdFEm,0048,barbell incline reverse-grip press,triceps,chest,shoulders,Set up an incline bench at a 45-degree angle.,"Lie back on the bench and grasp the barbell with a reverse grip, hands slightly wider than shoulder-width apart.","Unrack the barbell and lower it towards your upper chest, keeping your elbows tucked in.","Pause for a moment at the bottom, then push the barbell back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,barbell,https://v2.exercisedb.io/image/-xV7Eu25OGa9N3,0049,barbell incline row,upper back,biceps,forearms,Set up an incline bench at a 45-degree angle.,Lie face down on the bench with your chest against the pad and your feet flat on the ground.,"Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.",Keep your back straight and your core engaged.,"Pull the barbell towards your chest, squeezing your shoulder blades together.","Pause for a moment at the top, then slowly lower the barbell back to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
chest,barbell,https://v2.exercisedb.io/image/kykch2rmvW6P7T,0050,barbell incline shoulder raise,serratus anterior,deltoids,trapezius,Set up an incline bench at a 45-degree angle.,Sit on the bench with your back against the pad and feet flat on the ground.,"Hold a barbell with an overhand grip, slightly wider than shoulder-width apart.","Lift the barbell up to shoulder height, keeping your elbows slightly bent.","Slowly raise the barbell overhead, extending your arms fully.","Pause for a moment at the top, then slowly lower the barbell back to shoulder height.",,Repeat for the desired number of repetitions.,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/pbHeDAJFrV4g9i,0051,barbell jefferson squat,glutes,quadriceps,hamstrings,Stand with your feet shoulder-width apart and toes slightly turned out.,"Hold the barbell with an overhand grip, resting it on the front of your body, just below your waist.","Step your left foot forward and your right foot back, keeping your feet shoulder-width apart.","Bend your knees and lower your body down into a squat position, keeping your back straight and chest up.",Push through your heels to stand back up to the starting position.,"Repeat the movement, alternating your forward and back foot with each repetition.",calves,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/Hmgb5e9spuJAfZ,0052,barbell jm bench press,triceps,chest,shoulders,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,"Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.","Lower the barbell to your chest, keeping your elbows tucked in close to your body.","Push the barbell back up to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/2adVAd0j47fAxi,0053,barbell jump squat,glutes,quadriceps,hamstrings,"Start by standing with your feet shoulder-width apart, holding a barbell across your upper back.",Lower your body into a squat position by bending your knees and pushing your hips back.,"Once you reach the bottom of the squat, explode upwards by jumping off the ground.","As you jump, extend your hips, knees, and ankles, pushing through your toes.",Land softly back into the squat position and immediately repeat the movement for the desired number of repetitions.,,calves,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/acYEcmxm-W1jYm,1410,barbell lateral lunge,glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, holding a barbell across your upper back.","Take a big step to the side with your right foot, keeping your left foot planted.","Bend your right knee and lower your body down into a lunge position, keeping your left leg straight.",Push off with your right foot and return to the starting position.,"Repeat on the other side, stepping with your left foot.",,calves,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/Oz1Tv6LYtQ1h3c,1435,barbell low bar squat,glutes,quadriceps,hamstrings,Stand with your feet shoulder-width apart and the barbell resting on your upper back.,"Keeping your chest up and core engaged, slowly lower your body by bending your knees and pushing your hips back.",Continue lowering until your thighs are parallel to the ground or slightly below.,"Pause for a moment, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,calves,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/Pwxmbr90yG3yLu,0054,barbell lunge,glutes,quadriceps,hamstrings,Start by standing with your feet shoulder-width apart and a barbell resting on your upper back.,"Take a step forward with your right foot, keeping your torso upright.",Lower your body by bending your right knee until your thigh is parallel to the ground.,Push through your right heel to return to the starting position.,"Repeat with your left leg, alternating legs for the desired number of repetitions.",,calves,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/DfVdSshU7XDWVw,1720,barbell lying back of the head tricep extension,triceps,shoulders,,Lie flat on a bench with your feet flat on the ground and your head at the end of the bench.,"Hold a barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest.","Keeping your upper arms stationary, slowly lower the barbell behind your head by bending your elbows.","Pause for a moment, then extend your arms back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/ItGUd9KpupqGao,0055,barbell lying close-grip press,triceps,chest,shoulders,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,"Grasp the barbell with a close grip, hands shoulder-width apart, palms facing towards your feet.",Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.,"Slowly lower the barbell towards your chest, keeping your elbows close to your body.","Pause for a moment when the barbell touches your chest, then push it back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/sv1Vzehhg2Nk26,0056,barbell lying close-grip triceps extension,triceps,shoulders,,Lie flat on a bench with your feet flat on the ground and your head at the end of the bench.,"Grasp the barbell with a close grip, hands shoulder-width apart, palms facing up.","Extend your arms fully, lifting the barbell above your chest.","Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows.","Pause for a moment at the bottom, then extend your arms back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/UagkXbxRhvR2sF,0057,barbell lying extension,triceps,shoulders,,Lie flat on a bench with your feet flat on the ground and your head at the end of the bench.,"Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest.","Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows.","Pause for a moment, then extend your arms back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/3FJ6aTFWjrRhY9,0058,barbell lying lifting (on hip),glutes,hamstrings,quadriceps,Lie flat on your back on a bench with your feet flat on the ground and your knees bent.,Hold the barbell with an overhand grip and position it on your hips.,"Engaging your glutes, lift your hips off the bench until your body forms a straight line from your knees to your shoulders.","Pause for a moment at the top, then slowly lower your hips back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/rZ3jURUxX52jXv,0059,barbell lying preacher curl,biceps,forearms,,"Sit on a preacher bench with your chest against the pad and your arms extended over the edge, holding a barbell with an underhand grip.","Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.",Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.,Hold the contracted position for a brief pause as you squeeze your biceps.,Inhale and slowly begin to lower the barbell back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/z1GPtxujBUytj9,0061,barbell lying triceps extension,triceps,shoulders,,Lie flat on a bench with your feet flat on the ground and your head at the end of the bench.,"Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest.","Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows.","Pause for a moment at the bottom, then extend your arms back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,barbell,https://v2.exercisedb.io/image/ZM87B6FaT7TmLB,0060,barbell lying triceps extension skull crusher,triceps,shoulders,,Lie flat on a bench with your feet flat on the ground and your head at the end of the bench.,"Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest.","Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows.","Pause for a moment when the barbell is just above your forehead, then extend your arms back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,barbell,https://v2.exercisedb.io/image/BGsO8d-68iiUp7,0063,barbell narrow stance squat,glutes,quadriceps,hamstrings,Stand with your feet shoulder-width apart and toes pointing slightly outward.,"Hold the barbell across your upper back, resting it on your traps or rear delts.",Engage your core and keep your chest up as you slowly lower your body by bending your knees and pushing your hips back.,Continue lowering until your thighs are parallel to the ground or slightly below.,"Pause for a moment, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,calves,,,,,,,,
back,barbell,https://v2.exercisedb.io/image/iedpdSuM8IrhyR,0064,barbell one arm bent over row,upper back,biceps,forearms,"Stand with your feet shoulder-width apart, knees slightly bent, and hold a barbell with one hand using an overhand grip.","Bend forward at the hips, keeping your back straight and your head in a neutral position.","Pull the barbell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together.",Lower the barbell back down to the starting position in a controlled manner.,"Repeat for the desired number of repetitions, then switch to the other arm.",,,,,,,,,,
